"","Link","Microorganism","Precautions","Diagnosis","Information","Epidemiology","Syndromes","Treatment","Additional Information"
"1","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20386","Acinetobacter","Standard Precautions","Culture and susceptibility testing.","Aerobic, gram-negative rods.","Commonly found as part of the commensal microbiota in various animal species and in the environment.","A wide range of opportunistic infections can be encountered, particularly wound and other soft tissue infections. Invasive infections can occur and can be severe.","Multidrug resistance is not uncommon. Culture is needed to guide treatment.
Resistant to:

 Amoxicillin +/- clavulanate
 1st and 2nd generation cephalosporins

Typically resistant to nitrofurantoin 
Intrinsic fosfomycin resistance is present. It is sometimes tried in humans with cystitis because of the potential that high urine levels could still be effective, but efficacy is hard to predict.
Often resistant to:

 Aminoglycosides (especially gentamicin)
 Fluoroquinolones

3rd generation cephalosporin and carbapenem resistance can be encountered.
Trimethoprim sulfa and doxycycline are potential options but resistance can be present.
There is some in vitro activity of rifampin but it is not recommended in humans because it does not seem to offer much clinical benefit, alone or in combinations.
Minocycline and ceftazidime may be options in some cases. There may be few to no good options in some cases. Colistin is sometimes needed in humans.","Resource: Van der Kolk JH, Endimiani A, Graubner C, Gerber V, Perreten V. Acinetobacter in veterinary medicine, with an emphasis on Acinetobacter baumannii. J Glob Antimicrob Resist. 2019; 16: 59-71."
"2","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/21991","Acremonium","No Precautions Listed","Fungal culture.
Concurrent clinical signs and cytology/histology are important to consider as Acremonium is an environmental organism that could be detected as a contaminant.","Acremonium is a genus of fungi that contains various species. They are typically of limited virulence but can cause disease in certain situations, including in immunocompetent hosts.","Acremonium spp are predominantly saprophytes that are likely widespread in the environment in soil and dead plant material. Infections can occur in humans and animals, but are rare. Inoculation of the fungus through traumatic wounds is the typical route of exposure.","Clinical infections usually involve soft tissues, including mycetoma and ocular infections. Systemic infections are rare and probably occur predominantly in immunocompromised hosts. Onychomycosis can also occur.","Amphotericin B is the drug of choice.
Some azoles may be effective but that is unpredictable. In vitro susceptibility testing can be performed; however, limited data are available to aid interpretation. Fluconazole is unlikely to be effective.
Onychomycosis can potentially be treated with topical antifungals such as miconazole. 
Concurrent surgical debulking should be performed whenever possible.",""
"3","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20389","Actinobacillus","Standard Precautions","Culture and susceptibility testing","Non-motile, gram-negative rods that sometimes appear as coccobacilli.","Typically host specific.
Common commensals of various mucosal surfaces. 
Some species are non-pathogenic and virulence may differ between serotypes within species","Infections are uncommon in dogs and cats.","Resistant to

 Clindamycin
 Vancomycin.

Variable activity

 Penicillins
 Macrolides
 Aminoglycosides

Usually susceptible to

 3rd generation cephalosporins
 Trimethoprim-sulfa
 Fluoroquinolones
 Tetracyclines",""
"4","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20390","Actinomyces","Routine Practices","Culture is required for diagnosis. Cytology can raise suspicion through identification of acid fast negative filamentous bacteria.","Non-motile, non-spore-forming, gram-positive, acid fast negative bacteria of the Actinomycetaceae family.","This bacterium is a common oral commensal but can be involved in various types of infections.
Infections are often associated with trauma, bites or migrating foreign bodies (e.g. grass awns).
Co-infections with other opportunists are common.","Usually causes chronic, slowly progressive soft tissue infections characterized by firm masses, draining tracts and abscesses. Coinfections are common and actinomycosis may not be identified until the co-infection has been treated and disease remains.","Amoxicillin is a commonly used first line choice.
 Clindamycin or doxycycline are other potential options, with chloramphenicol and 3rd generation cephalosporins being other potential options. Cefovecin is not likely an effective choice (14d duration of effective levels may not be achieved).
 Weeks to months of treatment may be required.
 Whenever possible, abscesses should be drained and affected tissue debrided.",""
"5","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20391","Aeromonas","Standard Precautions","Culture.","Rod shaped, non-spore-forming, gram-negative bacteria
 Belongs to the mesophilic group of Aeromonas spp.","Ubiquitous in fresh and brackish water.
Emerging pathogen that can infect several hosts but infections in dogs and cats are rare. Infections are probably most often associated with contact with water or aquatic animals","Soft tissue infections likely predominate, although sepsis has been reported. Gastroenteritis can occur in humans but it is unclear whether this occurs in dogs and cats. 
Aeromonas hydrophila is the species that likely poses the greatest risk.","Resistant to

 Penicillins (including beta-lactamase inhibitor combinations)
 1st and 2nd generation cephalosporins
 Macrolides

Typically susceptible to

 Fluoroquinolones
 Chloramphenicol
 Aminoglycosides
 Doxycycline

Variable susceptibility to 3rd generation cephalosporins",""
"6","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20396","Anaerococcus lactolyticus","Standard Precautions","Culture
 Some anaerobes are fastidious and can be missed if good sample handling and anaerobic culture methods are not used","","The body harbours a vast array of anaerobic bacteria as part of the commensal microbiota. Anaerobes are also common in the environment. Most are harmless commensals but some case cause disease, ranging from mild to rapidly fatal.","A wide range of infections can be encountered, particularly:

 Enteric infections
 Wound infections

 Anaerobic environments are required for growth so tissue infections are most common in compromised tissues where local oxygen tension may be decreased
 Crepitus from gas production is common in tissue infections but does not need to be present","Susceptibility to penicillins (except Bacteroides fragilis), clindamycin and metronidazole is common
 Potentiated penicillins are effective against beta-lactamase producing anaerobes
 Other antimicrobials may also be effective, such as chloramphenicol and tetracyclines
 Aminoglycosides and fluoroquinolones (with the exception of pradofloxacin) are ineffective",""
"7","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20397","Anaplasma phagocytophilum","Standard Precautions","Diagnosis of exposure is often performed using serological tests (e.g. 4DX, Accuplex). These do not necessarily indicate the presence of active infection or disease.
Active infection can be identified via PCR (from blood).
Microscopic identification of morulae in neutrophils is suggestive but A. phagocytophilum cannt be differentiated from Ehrlichia ewingii.","Pleomorphic, gram-negative bacteria of the Anaplasmataceae family.","Transmitted by ticks: Ixodes scapularis and I. pacificus","Canine granulocytic anaplasmosis","Anaplasma lacks a cell wall so drugs acting on cell wall synthesis (e.g. beta-lactams) are ineffective.
Doxycycline is the drug of choice. Other tetracyclines can also be used.
Rifampin and fluoroquinolones may also be effective.",""
"8","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20398","Aspergillus","Standard Precautions","Fungal culture and/or PCR.
Cytology can suggest or support a fungal diagnosis but cannot identify the organism.
Clinical and/or histological evidence of fungal infection should be present since Aspergillus can be isolated as a contaminant.","A large number (>250) of species have been identified. Most are harmless environmentals but some species can cause opportunistic infections.","Ubiquitous saprophytic mold.","A range of opportunistic infections can be encountered. The more distinct infection types include:

 Sinonasal aspergillosis (dogs and cats)
 Sinoorbital aspergillosis (mainly cats)
 Disseminated aspergillosis","Systemic treatment options

 Azole antifungals

 Itraconazole
 Fluconazole
 Ketoconazole
 Posaconazole
 Voriconazole (common first line treatment in humans)

 Amphotericin B
 Terbinafine
 Caspofungin
 Combination therapy (e.g. itraconazole + amphotericin B or terbinafine) may be indicated in some cases.

Local (e.g. intranasal) infusion may be useful for sinonasal disease, including:

 Clotrimazole
 Enilconazole",""
"9","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/23259","Brucella melitensis","Routine Practices","PCR is the main diagnostic test. Tests that can differentiate Babesia species are available and should be used because of the different treatment approaches for different Babesia.
Babesia may be seen on cytological analysis of red blood cells. However, parasitemia must be high for Babesia to be seen cytologically.","A large form Babesia spp., B. canis is divided into 3 subspecies: B. canis canis, B. canis rossi and B. canis vogeli. Like other Babesia, it is an obligate intracellular hemoprotozoal parasite that inhabits erythrocytes.","Dogs are the hosts. Transmission is mainly by ticks. In North America, the most common tick vector is Rhipicephalus sanguineus (brown dog tick). It can also be spread by fighting, bites and blood transfusion.","Infection can range from subclinical to severe. Anemia is the most common clinical abnormality, as a result of immune mediated destruction of red blood cells. Thrombocytopenia may also be present. In severe cases, there may be variable clinical signs as a result of systemic inflammatory response.
B. canis rossi may be more likely to cause severe disease.
Chronic infections can occur, but this is less likely than with B. gibsoni.","Imidocarb is the treatment of choice. It can be combined with diminizene but is usually use alone.",""
"10","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/23260","(unknown name)","Routine Practices","PCR is the main diagnostic test. Tests that can differentiate Babesia species are available and should be used because of the different treatment approaches for different Babesia.
Babesia may be seen on cytological analysis of red blood cells. However, parasitemia must be high for Babesia to be seen cytologically.","These species are small form Babesia. Of for all Babesia, they are obligate intracellular hemoprotozoal parasites that live within red blood cells.","Tranmission can be from ticks, bites, fighting of blood transfusion. Tick vectors are less well understood for these species compared to Babesia canis. Rhipicephalus sanguineus is probably the main vector in North America for B. gibsoni. Less is known about B. conradae and B. vulpes.","Infection can range from subclinical to severe. Anemia is the most common clinical abnormality, as a result of immune mediated destruction of red blood cells. Thrombocytopenia may also be present. In severe cases, there may be variable clinical signs as a result of systemic inflammatory response.
Chronic infection is a common problem with B. gibsoni, including inapparent infection, mild anemia or severe anemia, hepatosplenomegaly, lymphadenopathy and other systemic signs. 
B. conradae and B. vulpes may be more likely to cause severe, acute disease.","A combination of azithromycin and atovaquone is most commonly used. Clindamycin can be added if response is poor. A combination of clindamycin, doxycycline and metronidazole has also been described.",""
